site number,site location,Cluster,site acronym,date,depth (m),T (C),DO (mg/l),pH,Secchi Disk (m),samples collected,comments
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,1999,10,27.6,6.2,NA,NA,NA,NA
R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,1999,15,21.5,0.3,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,1999,20,18.5,NA,NA,NA,NA,NA
R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,1999,25,16.8,NA,NA,NA,NA,NA
R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,1999,30,15.9,0.27,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,1999,35,15.8,NA,NA,NA,NA,NA
R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,1999,40,15.9,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,1999,45,16,0.12,NA,NA,NA,NA
R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,1999,5,28.1,8.82,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,1999,0,28.7,7.8,NA,NA,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,1999,0,30,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,1999,NA,NA,NA,NA,NA,"DOCM, MIB/GEO",NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-10,Saguaro Lake near inlet,salt,saguaro-10m,1999,10,24.5,0.6,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-15,Saguaro Lake near inlet,salt,saguaro-15m,1999,15,23.9,0.7,NA,NA,NA,NA
R9-20,Saguaro Lake near inlet,salt,saguaro-20m,1999,20,23.7,1.2,NA,NA,NA,NA
R9-25,Saguaro Lake near inlet,salt,saguaro-25m,1999,25,23.6,1.5,NA,NA,NA,NA
R9-30,Saguaro Lake near inlet,salt,saguaro-30m,1999,30,23.6,1.7,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-35,Saguaro Lake near inlet,salt,saguaro-35m,1999,35,23.6,1.6,NA,NA,NA,NA
R9-40,Saguaro Lake near inlet,salt,saguaro-40m,1999,40,23.6,1.7,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-45,Saguaro Lake near inlet,salt,saguaro-45m,1999,45,23.6,1.4,NA,NA,NA,NA
R9-5,Saguaro Lake near inlet,salt,saguaro-5m,1999,5,27.4,4.4,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9A,Saguaro Lake near inlet,salt,saguaro-0m,1999,0,30,7.58,NA,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,1999,0,31.1,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,1999,NA,NA,NA,NA,NA,"DOCM, MIB/GEO",NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R19,Val Vista WTP treated water,srp,val vista-treated,1999,NA,NA,NA,NA,NA,"DOCM, MIB/GEO",NA
R2-10,Lake Pleasant integrated sample,cap,pleasant-10m,1999,10,27.8,NA,NA,NA,NA,NA
R2-15,Lake Pleasant integrated sample,cap,pleasant-15m,1999,15,20.2,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-20,Lake Pleasant integrated sample,cap,pleasant-20m,1999,20,17.5,NA,NA,NA,NA,NA
R2-25,Lake Pleasant integrated sample,cap,pleasant-25m,1999,25,15.9,NA,NA,NA,NA,NA
R2-30,Lake Pleasant integrated sample,cap,pleasant-30m,1999,30,15.3,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-35,Lake Pleasant integrated sample,cap,pleasant-35m,1999,35,14.6,NA,NA,NA,NA,NA
R2-40,Lake Pleasant integrated sample,cap,pleasant-40m,1999,40,14.4,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-45,Lake Pleasant integrated sample,cap,pleasant-45m,1999,45,14.6,NA,NA,NA,NA,NA
R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,1999,5,27.9,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-50,Lake Pleasant integrated sample,cap,pleasant-50m,1999,50,14.6,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-0m,1999,0,28.6,6.8,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,1999,0,15.9,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,1999,0,18.1,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R20,Verde River at Tangle (USGS),verde,verde abv horseshoe,1999,NA,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,1999,10,26.8,5.24,NA,NA,NA,NA
R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,1999,15,26.5,3.3,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,1999,20,22,0.04,NA,NA,NA,NA
R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,1999,25,19.5,0.1,NA,NA,NA,NA
R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,1999,30,17.9,0.12,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,1999,35,17,0.08,NA,NA,NA,NA
R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,1999,40,17.4,0.14,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,1999,45,17.5,0.14,NA,NA,NA,NA
R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,1999,5,27.1,5.58,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,1999,0,27.5,6.51,NA,NA,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,1999,0,27.1,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,1999,0,26.6,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R19,Val Vista WTP treated water,srp,val vista-treated,1999,NA,NA,NA,NA,NA,"DOCM, MIB/GEO",NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,1999,0,24.7,NA,NA,NA,NA,NA
R9-10,Saguaro Lake near inlet,salt,saguaro-10m,1999,10,25.2,0.34,NA,NA,NA,NA
R9-15,Saguaro Lake near inlet,salt,saguaro-15m,1999,15,24.6,0.32,NA,NA,NA,NA
R9-20,Saguaro Lake near inlet,salt,saguaro-20m,1999,20,24.2,1.86,NA,NA,NA,NA
R9-25,Saguaro Lake near inlet,salt,saguaro-25m,1999,25,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-30,Saguaro Lake near inlet,salt,saguaro-30m,1999,30,23.7,2.37,NA,NA,NA,NA
R9-35,Saguaro Lake near inlet,salt,saguaro-35m,1999,35,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-40,Saguaro Lake near inlet,salt,saguaro-40m,1999,40,23.5,0.44,NA,NA,NA,NA
R9-45,Saguaro Lake near inlet,salt,saguaro-45m,1999,45,NA,NA,NA,NA,NA,NA
R9-5,Saguaro Lake near inlet,salt,saguaro-5m,1999,5,26.9,7.22,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9A,Saguaro Lake near inlet,salt,saguaro-0m,1999,0,27.5,7.89,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,1999,0,27,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,1999,NA,28,NA,NA,NA,"DOCM, MIB/GEO",NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,1999,NA,28,NA,NA,NA,"DOCM, MIB/GEO",NA
R2-10,Lake Pleasant integrated sample,cap,pleasant-10m,1999,10,26.5,9.36,NA,NA,NA,NA
R2-15,Lake Pleasant integrated sample,cap,pleasant-15m,1999,15,26.5,9.15,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-20,Lake Pleasant integrated sample,cap,pleasant-20m,1999,20,19.4,5.6,NA,NA,NA,NA
R2-25,Lake Pleasant integrated sample,cap,pleasant-25m,1999,25,17.4,5.45,NA,NA,NA,NA
R2-30,Lake Pleasant integrated sample,cap,pleasant-30m,1999,30,16.6,5.15,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-35,Lake Pleasant integrated sample,cap,pleasant-35m,1999,35,15.4,3.45,NA,NA,NA,NA
R2-40,Lake Pleasant integrated sample,cap,pleasant-40m,1999,40,15.4,2.8,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-45,Lake Pleasant integrated sample,cap,pleasant-45m,1999,45,15.4,2.63,NA,NA,NA,NA
R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,1999,5,26.5,10.5,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2A,Lake Pleasant integrated sample,cap,pleasant-0m,1999,0,26.6,9.8,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,1999,0,18,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,1999,0,17,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R20,Verde River at Tangle (USGS),verde,verde abv horseshoe,1999,NA,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,1999,0,24.1,7.9,8.34,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R2-10,Lake Pleasant integrated sample,cap,pleasant-10m,1999,10,23.5,8.29,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-15,Lake Pleasant integrated sample,cap,pleasant-15m,1999,15,23.5,7.4,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-20,Lake Pleasant integrated sample,cap,pleasant-20m,1999,20,23.4,7.1,NA,NA,NA,NA
R2-25,Lake Pleasant integrated sample,cap,pleasant-25m,1999,25,18.3,5.18,NA,NA,NA,very turbid at 25 m
R2-30,Lake Pleasant integrated sample,cap,pleasant-30m,1999,30,17.9,3.56,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-35,Lake Pleasant integrated sample,cap,pleasant-35m,1999,35,18.2,2.77,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",somewhat turbid at 35 m
R2-40,Lake Pleasant integrated sample,cap,pleasant-40m,1999,40,18.3,2.3,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",musty smell in milk jug
R2-45,Lake Pleasant integrated sample,cap,pleasant-45m,1999,45,18.2,2.1,NA,NA,NA,NA
R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,1999,5,23.6,9.73,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",modest algae bloom
R2A,Lake Pleasant integrated sample,cap,pleasant-0m,1999,0,23.8,8.59,NA,NA,NA,no odor in epilimnion
R3,Waddell Canal,cap,waddell canal,1999,0,23.5,8.03,8.38,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",stagnant water in canal
R4,Cap Canal at 7th St.,cap,cap @ 7th st,1999,0,23.6,7.68,8.35,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,1999,0,22.5,NA,8.95,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1999,0,21,7.7,8.06,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1999,0,21.2,6.8,8.09,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,1999,0,25,10.4,8.62,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,1999,NA,NA,NA,NA,NA,"DOCM, MIB/GEO",NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,1999,0,24.3,24.3,8.41,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,1999,NA,NA,NA,NA,NA,"DOCM, MIB/GEO",NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,1999,0,21.8,7.2,8.29,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R19,Val Vista WTP treated water,srp,val vista-treated,1999,NA,NA,NA,NA,NA,"DOCM, MIB/GEO",NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,1999,0,21.5,8,8.01,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,1999,10,23.1,5.57,8.52,NA,"NUT, DOCM, MIB/GEO, PHYT",slight fishy odor
R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,1999,15,23,5.54,8.52,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,1999,20,23,5.49,NA,NA,NA,NA
R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,1999,25,22.9,4.54,8.45,NA,"NUT, DOCM, MIB/GEO, PHYT","composite sample at 25,30,35m"
R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,1999,30,22.8,3.43,8.45,NA,"NUT, DOCM, MIB/GEO, PHYT",musty odor in milk jug
R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,1999,35,21.3,0.68,8.45,NA,"NUT, DOCM, MIB/GEO, PHYT",sample at 40m - muddy
R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,1999,40,21.4,0.59,NA,NA,NA,NA
R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,1999,45,21.4,0.61,NA,NA,NA,NA
R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,1999,5,23.1,5.95,8.52,NA,"NUT, DOCM, MIB/GEO, PHYT","composite sample at 5,10,15m"
R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,1999,0,23,6.99,NA,NA,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R9-10,Saguaro Lake near inlet,salt,saguaro-10m,1999,10,23.9,4.92,7.83,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-15,Saguaro Lake near inlet,salt,saguaro-15m,1999,15,23.6,2.7,7.83,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-20,Saguaro Lake near inlet,salt,saguaro-20m,1999,20,23.2,4.2,NA,NA,NA,NA
R9-25,Saguaro Lake near inlet,salt,saguaro-25m,1999,25,23.1,4.45,NA,NA,NA,NA
R9-30,Saguaro Lake near inlet,salt,saguaro-30m,1999,30,22.9,3.89,7.72,NA,"NUT, DOCM, MIB/GEO, PHYT",slight musty odor in milk jug
R9-35,Saguaro Lake near inlet,salt,saguaro-35m,1999,35,22.9,3.37,7.72,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-40,Saguaro Lake near inlet,salt,saguaro-40m,1999,40,22.9,3.22,7.72,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-45,Saguaro Lake near inlet,salt,saguaro-45m,1999,45,22.9,3.18,NA,NA,NA,NA
R9-5,Saguaro Lake near inlet,salt,saguaro-5m,1999,5,24,6.59,7.83,NA,"NUT, DOCM, MIB/GEO, PHYT",slight musty odor in milk jug
R9A,Saguaro Lake near inlet,salt,saguaro-0m,1999,0,25.4,6.79,NA,NA,NA,NA
R20,Verde River at Tangle (USGS),verde,verde abv horseshoe,1999,NA,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,1999,0,18.3,NA,7.4,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,1999,0,19,11.52,8.3,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1999,0,17.3,9.84,8.4,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1999,0,17.2,9.94,8.5,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,1999,0,20.3,9.2,8.1,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R9-10,Saguaro Lake near inlet,salt,saguaro-10m,1999,10,20,7.31,7.85,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-15,Saguaro Lake near inlet,salt,saguaro-15m,1999,15,20,6.88,7.84,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-20,Saguaro Lake near inlet,salt,saguaro-20m,1999,20,19.9,6.55,7.81,NA,NA,NA
R9-25,Saguaro Lake near inlet,salt,saguaro-25m,1999,25,19.9,6.38,7.77,NA,NA,NA
R9-30,Saguaro Lake near inlet,salt,saguaro-30m,1999,30,19.9,5.68,7.74,NA,"NUT, DOCM, MIB/GEO, PHYT",slight musty odor in milk jug
R9-35,Saguaro Lake near inlet,salt,saguaro-35m,1999,35,19.9,0.7,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-40,Saguaro Lake near inlet,salt,saguaro-40m,1999,40,19.9,0.53,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-45,Saguaro Lake near inlet,salt,saguaro-45m,1999,45,19.9,0.48,NA,NA,NA,NA
R9-5,Saguaro Lake near inlet,salt,saguaro-5m,1999,5,20.1,7.38,7.83,NA,"NUT, DOCM, MIB/GEO, PHYT",slight musty odor in milk jug
R9A,Saguaro Lake near inlet,salt,saguaro-0m,1999,0,20.4,8.48,7.66,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R2-10,Lake Pleasant integrated sample,cap,pleasant-10m,1999,10,18.5,9.38,8.38,NA,NA,NA
R2-15,Lake Pleasant integrated sample,cap,pleasant-15m,1999,15,18.5,8.94,8.39,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-20,Lake Pleasant integrated sample,cap,pleasant-20m,1999,20,18.5,8.67,8.35,NA,NA,NA
R2-25,Lake Pleasant integrated sample,cap,pleasant-25m,1999,25,18.4,8.45,8.32,NA,NA,very turbid at 25 m
R2-30,Lake Pleasant integrated sample,cap,pleasant-30m,1999,30,18,8.16,8.24,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R2-35,Lake Pleasant integrated sample,cap,pleasant-35m,1999,35,17.8,7.05,NA,NA,NA,somewhat turbid at 35 m
R2-40,Lake Pleasant integrated sample,cap,pleasant-40m,1999,40,16.9,3.93,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",musty smell in milk jug
R2-45,Lake Pleasant integrated sample,cap,pleasant-45m,1999,45,15.7,1.26,NA,NA,NA,NA
R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,1999,5,18.7,10.7,8.38,NA,"NUT, DOCM, MIB/GEO, PHYT",modest algae bloom
R2A,Lake Pleasant integrated sample,cap,pleasant-0m,1999,0,19.9,9.03,8.2,NA,NA,no odor in epilimnion
R3,Waddell Canal,cap,waddell canal,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",stagnant water in canal
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,1999,10,18,7.53,8.46,NA,"NUT, DOCM, MIB/GEO, PHYT",slight fishy odor
R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,1999,15,18,7.35,8.45,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,1999,20,17.9,7.18,8.42,NA,NA,NA
R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,1999,25,17.9,7.06,8.39,NA,"NUT, DOCM, MIB/GEO, PHYT","composite sample at 25,30,35m"
R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,1999,30,17.9,7.02,8.36,NA,"NUT, DOCM, MIB/GEO, PHYT",musty odor in milk jug
R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,1999,35,17.9,0.57,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",sample at 40m - muddy
R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,1999,40,17.9,0.39,NA,NA,NA,NA
R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,1999,45,17.9,0.28,NA,NA,NA,NA
R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,1999,5,18,7.53,8.49,NA,"NUT, DOCM, MIB/GEO, PHYT","composite sample at 5,10,15m"
R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,1999,0,18,7.57,8.5,NA,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,1999,0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,1999,0,18.7,10.38,8.74,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,1999,NA,NA,NA,NA,NA,"DOCM, MIB/GEO",NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,1999,0,19,10.6,8.74,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,1999,NA,NA,NA,NA,NA,"DOCM, MIB/GEO",NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,1999,NA,NA,NA,NA,NA,NA,south canal shut down
R19,Val Vista WTP treated water,srp,val vista-treated,1999,NA,NA,NA,NA,NA,NA,south canal shut down
R4,Cap Canal at 7th St.,cap,cap @ 7th st,1999,0,18.6,10.02,8.38,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R20,Verde River at Tangle (USGS),verde,verde abv horseshoe,1999,NA,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,1999,0,9.1,9.27,7.98,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,1999,0,1.7,10.8,8.6,NA,"NUT, DOCM, MIB/GEO, PHYT, PERI",NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1999,0,10.2,9.3,8.6,NA,"NUT, DOCM, MIB/GEO, PERI",NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1999,0,10.3,8.95,8.55,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,1999,0,14.6,7.47,7.7,NA,NA,NA
R9-10,Saguaro Lake near inlet,salt,saguaro-10m,1999,10,15.5,5.14,7.93,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-15,Saguaro Lake near inlet,salt,saguaro-15m,1999,15,15.5,5.43,7.91,NA,NA,NA
R9-20,Saguaro Lake near inlet,salt,saguaro-20m,1999,20,15.5,5.33,7.9,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
R9-25,Saguaro Lake near inlet,salt,saguaro-25m,1999,25,15.5,5.2,7.9,NA,NA,NA
R9-30,Saguaro Lake near inlet,salt,saguaro-30m,1999,30,15.5,5.17,7.8,NA,"NUT, DOCM, MIB/GEO, PHYT",muddy
R9-35,Saguaro Lake near inlet,salt,saguaro-35m,1999,35,NA,4,NA,NA,"NUT, DOCM",muddy
R9-40,Saguaro Lake near inlet,salt,saguaro-40m,1999,40,NA,4,NA,NA,NA,muddy
R9-45,Saguaro Lake near inlet,salt,saguaro-45m,1999,45,NA,4.2,NA,NA,NA,muddy
